Feature,Importance
city_development_index,0.19604245423461486
city_city_21,0.08996172582890967
experience,0.07956207545465578
training_hours,0.07391506773053204
company_size_nan,0.07164933514637402
company_type_nan,0.05818703318145807
last_new_job,0.042532059811237255
company_type_Pvt Ltd,0.02941972082031741
major_discipline_nan,0.019023675483568928
relevent_experience_No relevent experience,0.018691929194272584
enrolled_university_no_enrollment,0.01850455999703666
city_city_103,0.017668361023701146
major_discipline_STEM,0.012771237439104334
company_size_50-99,0.012750067318222667
city_city_114,0.012619496813793072
city_city_16,0.011481944518318788
education_level_Masters,0.01142277039582524
company_size_100-500,0.011111191666589616
gender_Male,0.009861261661603896
gender_nan,0.009308910376697288
education_level_High School,0.008982661213201041
company_size_10000+,0.007866441787872252
city_city_160,0.007679201283942025
city_city_136,0.006928205929498322
company_size_1000-4999,0.00664361693229658
city_city_11,0.0063807260905261705
company_type_Funded Startup,0.00637393407161714
company_type_Public Sector,0.006256702716320918
company_size_<10,0.0062221517152735
education_level_Phd,0.0051627763908326275
enrolled_university_Part time course,0.005052854368390445
education_level_Primary School,0.004943290377456141
company_size_500-999,0.004812427418291773
city_city_67,0.004446172993790653
education_level_nan,0.004056866811171189
major_discipline_Humanities,0.003813072680814929
company_size_5000-9999,0.0037373597184505525
city_city_100,0.0035260096745565444
enrolled_university_nan,0.0032621659866317295
company_type_NGO,0.0032461837984276505
city_city_104,0.003075391572589241
city_city_75,0.002787065214135449
city_city_74,0.002614711738436338
major_discipline_Business Degree,0.002379003377391905
city_city_71,0.0022048617879606995
city_city_28,0.0022037980573483395
city_city_73,0.0021382049952569956
city_city_102,0.0020800321508401094
city_city_50,0.00204785906216497
major_discipline_Other,0.001959450167562428
city_city_128,0.0018738995935665477
city_city_41,0.0017879523163548306
city_city_36,0.0017573064192927962
city_city_90,0.0017075324804916917
city_city_61,0.0016611873487911394
city_city_173,0.0016497800479717143
major_discipline_No Major,0.0016151348267978746
city_city_23,0.0015922097248234244
city_city_65,0.001581510646377
city_city_162,0.0015690571337840667
city_city_46,0.0015662350691649474
city_city_145,0.0015095208972577385
company_type_Other,0.0014838889765726349
gender_Other,0.001464893415245762
city_city_99,0.0014479526360372732
city_city_89,0.001440450349046935
city_city_165,0.0013828107832246676
city_city_57,0.0013686507817206079
city_city_138,0.0013263148602185657
city_city_144,0.0013044966273051037
city_city_64,0.0012833466582709303
city_city_83,0.0012723464405260954
city_city_159,0.001131299820391833
city_city_115,0.0010942400412102978
city_city_45,0.0010333939387979225
city_city_91,0.0009899223485259159
city_city_101,0.000963587639726564
city_city_123,0.0009339924657610092
city_city_149,0.0009137948489133087
city_city_116,0.0009049106471781504
city_city_97,0.0008699861729249593
city_city_19,0.0008551077776226506
city_city_158,0.0008507121544895431
city_city_78,0.0008394382448914873
city_city_70,0.0007801615005153185
city_city_93,0.0007580751597268404
city_city_10,0.0007565176391864822
city_city_76,0.0007563923799647384
city_city_152,0.000721410839712172
city_city_40,0.0006410741559071124
city_city_150,0.0006307346202877764
city_city_143,0.0006255180671505627
city_city_24,0.0006195758184873093
city_city_98,0.0006165808487328277
city_city_105,0.000563668293850234
city_city_134,0.0004544791401107499
city_city_7,0.0004487278028827991
city_city_84,0.00040149555390621254
city_city_53,0.0003867030818952916
city_city_118,0.0003702904506358374
city_city_126,0.0003671623481784707
city_city_13,0.00035846523551543824
city_city_141,0.0003461918067510684
city_city_142,0.00031202239506557554
city_city_26,0.0002537971693220653
city_city_48,0.0002446970492042864
city_city_14,0.00024342509913812628
city_city_33,0.0002395602110504112
city_city_27,0.0002389936812258113
city_city_77,0.00021977845632622465
city_city_69,0.0002129444189059882
city_city_39,0.0001981730080944319
city_city_54,0.00018190585377911436
city_city_94,0.0001786675560546726
city_city_117,0.000164607113668694
city_city_9,0.0001608616513420924
city_city_44,0.00016075402926299894
city_city_20,0.00015490958074540045
city_city_155,0.0001457981073893224
city_city_157,0.00014458586800334582
city_city_42,0.00013239138128231398
city_city_176,0.00012076089327670795
city_city_146,0.0001196482862477712
city_city_175,0.00011044404031394992
city_city_43,0.00010993989355440245
city_city_59,9.455788461853097e-05
city_city_12,9.255350746764762e-05
city_city_180,8.159944536149264e-05
city_city_80,7.453718394841621e-05
city_city_30,6.082348558158173e-05
city_city_120,6.01283465669702e-05
city_city_55,5.1545597674722995e-05
city_city_37,4.921450085042343e-05
city_city_106,4.8071954164620065e-05
city_city_81,3.6876811333868555e-05
city_city_72,3.551916308809903e-05
city_city_127,3.4442508017011006e-05
city_city_179,3.154680785761833e-05
city_city_109,2.9979381261066116e-05
city_city_2,2.997874188818066e-05
city_city_18,2.404721977775424e-05
city_city_79,2.024697293344474e-05
city_city_131,1.916854797805856e-05
city_city_139,1.8696216578958064e-05
city_city_167,1.4301617480005582e-05
city_city_107,1.3434766413540251e-05
city_city_8,1.2118273076297025e-05
city_city_31,7.0626282946187214e-06
city_city_82,5.661871655744169e-06
city_city_25,5.416082010983496e-06
city_city_133,1.6376843114448936e-06
city_city_129,0.0
city_city_111,0.0
city_city_121,0.0
city_city_171,0.0
city_city_140,0.0
city_city_166,0.0
city_city_62,0.0
